id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
322166,YTY,medium_airport,Yangzhou Taizhou Airport,32.560184,119.717141,16,AS,CN,CN-32,,1,ZSYA,YTY,,,https://en.wikipedia.org/wiki/Yangzhou_Taizhou_Airport,,0,2017-02-15T03:31:00+00:00
44223,CN-0145,medium_airport,Changzing Air Base,30.96859932,119.7310028,,AS,CN,CN-33,,0,,,,,,,0,2009-04-16T20:45:25+00:00
44224,CN-0146,medium_airport,Daishan Air Base,30.28779984,122.1449966,,AS,CN,CN-33,,0,,,,,,,0,2009-04-16T21:54:57+00:00
44232,CN-0154,medium_airport,Jiaxing Air Base,30.70664024,120.6806107,,AS,CN,CN-33,,0,,,,,,,0,2009-04-18T08:37:09+00:00
44237,CN-0159,medium_airport,Longyou Air Base,29.11310005,119.177002,,AS,CN,CN-33,,0,,,,,,,0,2009-04-18T13:25:54+00:00
44230,CN-0152,medium_airport,Huian Air Base,25.02610016,118.8069992,,AS,CN,CN-35,,0,,,,,,,0,2009-04-17T22:40:50+00:00
44236,CN-0158,medium_airport,Longtian/Lung-T'ien Air Base,25.57279968,119.4599991,,AS,CN,CN-35,,0,,,,,,,0,2009-04-18T13:22:37+00:00
44261,CN-0183,small_airport,Zhangzhou/Chang-Chou Airfield,24.5625,117.6539993,,AS,CN,CN-35,,0,,,,,,,0,2009-04-18T08:59:53+00:00
44216,CN-0138,medium_airport,Xincheng Air Base,25.54829979,114.6190033,,AS,CN,CN-36,,0,,,,,,,0,2009-04-18T09:32:01+00:00
44239,CN-0161,medium_airport,Mahuiling Air Base,29.47719955,115.802002,,AS,CN,CN-36,,0,,,,,,,0,2009-04-18T09:35:38+00:00
44260,CN-0182,medium_airport,Zhangshu Air Base,28.02169991,115.5510025,,AS,CN,CN-36,,0,,,,,,,0,2009-04-18T09:33:39+00:00
44170,CN-0092,medium_airport,Jiaozhou/Jiaocheng Air Base,36.33060074,120.0240021,,AS,CN,CN-37,,0,,,,,,,0,2009-04-18T08:35:11+00:00
44171,CN-0093,medium_airport,Jinan Air Base,36.67919922,116.9209976,,AS,CN,CN-37,,0,,,,,,,0,2009-04-18T08:41:12+00:00
44174,CN-0096,medium_airport,Laiyang Air Base,36.96360016,120.5910034,,AS,CN,CN-37,,0,,,,,,,0,2009-04-18T13:13:47+00:00
44179,CN-0101,seaplane_base,Qingdao Naval Base,36.0469017,120.2839966,,AS,CN,CN-37,,0,,,,,,,0,2009-04-18T14:36:52+00:00
